This surface was created by:		
1)Scanning the Mckay 1969 Snowmelt tables from the original paper		
2)Digitizing the scanned immage into XYZ values		
3)interpolating a uniform 100x100 grid using TableCurve 3d 		
X = temperature in Celcius		
Y = julain day		
z= Snow melt potential in mm		
X_temp	 Y_Jday	Grid_pot
0.15712682	354.3274904	0.0008817
0.15712682	358.0162379	0.00447402
0.15712682	361.7049854	0.00519411
0.15712682	365.393733	0
0.31425365	0.20772823	0.0098166
0.31425365	3.89647576	0.01395842
0.31425365	7.58522328	0.01428486
0.31425365	11.2739708	0.01389571
0.31425365	14.96271832	0.0134572
0.31425365	18.65146585	0.01336783
0.31425365	22.34021337	0.01353297
0.31425365	26.02896089	0.01376977
0.31425365	29.71770841	0.01334442
0.31425365	33.40645594	0.01414296
0.31425365	37.09520346	0.01891673
0.31425365	40.78395098	0.00881555
0.31425365	44.4726985	0.00856807
0.31425365	48.16144603	0.00003741
0.31425365	51.85019355	0
0.31425365	55.53894107	0
0.31425365	59.22768859	0
0.31425365	62.91643612	0
0.31425365	66.60518364	0
0.31425365	70.29393116	0
0.31425365	73.98267868	0
0.31425365	77.67142621	0
0.31425365	81.36017373	0
0.31425365	85.04892125	0
0.31425365	88.73766877	0.0798257
0.31425365	92.4264163	0.25804272
0.31425365	96.11516382	0.48268582
0.31425365	99.80391134	0.70671241
0.31425365	103.4926589	0.928868
0.31425365	107.1814064	1.16940226
0.31425365	110.8701539	1.4319658
0.31425365	114.5589014	1.67917539
0.31425365	118.247649	1.94173832
0.31425365	121.9363965	2.13148224
0.31425365	125.625144	2.27131053
0.31425365	129.3138915	2.39206595
0.31425365	133.0026391	2.49502346
0.31425365	136.6913866	2.58145802
0.31425365	140.3801341	2.65264461
0.31425365	144.0688816	2.70985819
0.31425365	147.7576291	2.75437373
0.31425365	151.4463767	2.7874662
0.31425365	155.1351242	2.81043156
0.31425365	158.8238717	2.82933911
0.31425365	162.5126192	2.84824783
0.31425365	166.2013668	2.86715752
0.31425365	169.8901143	2.88606801
0.31425365	173.5788618	2.9049791
0.31425365	177.2676093	2.92389061
0.31425365	180.9563568	2.94280233
0.31425365	184.6451044	2.96171408
0.31425365	188.3338519	2.98062568
0.31425365	192.0225994	2.99953692
0.31425365	195.7113469	3.01844763
0.31425365	199.4000945	3.0373576
0.31425365	203.088842	3.05626666
0.31425365	206.7775895	3.07517461
0.31425365	210.466337	3.09408126
0.31425365	214.1550845	3.11298642
0.31425365	217.8438321	3.13188989
0.31425365	221.5325796	3.1507915
0.31425365	225.2213271	3.16969105
0.31425365	228.9100746	3.18858835
0.31425365	232.5988222	3.20748321
0.31425365	236.2875697	3.22566942
0.31425365	239.9763172	3.22996164
0.31425365	243.6650647	3.2127228
0.31425365	247.3538122	3.1704546
0.31425365	251.0425598	3.09965877
0.31425365	254.7313073	2.99683704
0.31425365	258.4200548	2.85849112
0.31425365	262.1088023	2.68112272
0.31425365	265.7975499	2.46123359
0.31425365	269.4862974	2.19532542
0.31425365	273.1750449	1.90734107
0.31425365	276.8637924	1.64672177
0.31425365	280.55254	1.41409044
0.31425365	284.2412875	1.20891344
0.31425365	287.930035	1.03053765
0.31425365	291.6187825	0.86497794
0.31425365	295.30753	0.70425052
0.31425365	298.9962776	0.55024781
0.31425365	302.6850251	0.40486223
0.31425365	306.3737726	0.26700873
0.31425365	310.0625201	0.1180932
0.31425365	313.7512677	0.00983425
0.31425365	317.4400152	0
0.31425365	321.1287627	0
0.31425365	324.8175102	0
0.31425365	328.5062577	0
0.31425365	332.1950053	0
0.31425365	335.8837528	0
0.31425365	339.5725003	0
0.31425365	343.2612478	0
